route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1458,45,"438B","CE438B ",Commuter Express 438B - Imperial-Aviation,3,,FF051E,FFFFFF
1524,45,"431B","CE431B",CE431B,3,,2B6B0B,FFFFFF
1756,45,"Pueblo Del Rio","DASH Pueblo Del Rio",Pueblo Del Rio,3,,E58427,FFFFFF
1757,45,"Southeast Clockwise","DASH Southeast Clockwise",Southeast Clockwise,3,,E47E1C,FFFFFF
1758,45,"Southeast Counterclockwise","DASH Southeast Counterclockwise",Southeast Counterclockwise,3,,F0C184,FFFFFF
26,45,"431","CE431",CE431,3,,2B6B0B,FFFFFF
27,45,"438","CE438",CE438 Redondo,3,,FF4112,FFFFFF
28,45,"448","CE448 ",CE448 - Rancho Palos Verdes,3,,0C61C2,FFFFFF
29,47,"409","CE409",Commuter Express 409,3,,0DFFFF,000000
30,47,"422","CE422",Commuter Express 422,3,,122AFF,FFFFFF
31,47,"423","CE423",Commuter Express 423,3,,FF250D,FFFFFF
4278,47,"438B","CE438B",Commuter Express 438B,3,,960DFF,FFFFFF
4290,45,"437B","CE437B",CE437B - Playa Vista,3,,FF1CF0,FFFFFF
4291,45,"439","CE439 ",CE439 ,3,,9D43D9,FFFFFF
4443,183,"B","DASH B",Chinatown/Financial District,3,,703E7E,FFFFFF
4444,183,"E","DASH E",City West/Fashion District,3,,E20A16,FFFFFF
4445,183,"F","DASH F",Financial District/USC,3,,DE1F82,FFFFFF
4446,183,"D","DASH D",Union Station/South Park,3,,F38D1F,FFFFFF
4447,183,"A","DASH A",Little Tokyo/City West,3,,5F93BF,FFFFFF
4577,30,"Observatory/Los Feliz","DASH Observatory/Los Feliz",Los Feliz,3,,00447B,FFFFFF
4867,30,"Boyle Heights","DASH Boyle Heights",Boyle Heights/East LA Route,3,,843C10,FFFFFF
4868,30,"El Sereno/City Terrace","DASH El Sereno/City Terrace",El Sereno/City Terrace,3,,A30059,FFFFFF
4869,30,"Pico Union/Echo Park","DASH Pico Union/Echo Park",Pico Union/Echo Park,3,,43C4B7,FFFFFF
5285,47,"Sylmar","DASH Sylmar",Sylmar,3,,4F5BFF,FFFFFF
562,30,"Beachwood Canyon","DASH Beachwood Canyon",Hollywood Sign,3,,33460C,FFFFFF
563,30,"Fairfax","DASH Fairfax",Fairfax District,3,,8A2528,FFFFFF
564,30,"Hollywood Clockwise","DASH Hollywood Clockwise",Clockwise,3,,00ADC5,FFFFFF
565,30,"Hollywood/Wilshire","DASH Hollywood/Wilshire",Hollywood / Wilshire,3,,6A727A,FFFFFF
