shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_3592,35.353416,-119.062004,1,0
p_3592,35.353416,-119.061493,2,46.44679654
p_3592,35.353565,-119.061455,3,63.33488563
p_3592,35.353611,-119.061455,4,68.43845056
p_3592,35.353611,-119.061256,5,86.52629849
p_3592,35.353046,-119.061256,6,149.21138682
p_3592,35.352142,-119.061249,7,249.50953409
p_3592,35.351688,-119.061249,8,299.87948707
p_3592,35.34869,-119.061241,9,632.49939168
p_3592,35.34827,-119.061234,10,679.10146314
p_3592,35.347851,-119.061249,11,725.60823228
p_3592,35.346916,-119.061241,12,829.34617909
p_3592,35.345589,-119.061234,13,976.57412873
p_3592,35.344315,-119.061234,14,1117.9204856
p_3592,35.344181,-119.061226,15,1132.8051453
p_3592,35.339596,-119.061226,16,1641.49644604
p_3592,35.339405,-119.061203,17,1662.79019227
p_3592,35.339062,-119.06115,18,1701.1487561
p_3592,35.33881,-119.061089,19,1729.65201305
p_3592,35.338631,-119.06105,20,1749.82549497
p_3592,35.338326,-119.060974,21,1784.36242476
p_3592,35.338207,-119.060936,22,1798.00957743
p_3592,35.338089,-119.06089,23,1811.75299339
p_3592,35.338142,-119.06073,24,1827.44235133
p_3592,35.33836,-119.060158,25,1884.79294306
p_3592,35.338696,-119.059273,26,1973.46541737
p_3592,35.338951,-119.058548,27,2045.19077148
p_3592,35.339039,-119.058281,28,2071.35373209
p_3592,35.339233,-119.057579,29,2138.70433485
p_3592,35.339291,-119.057312,30,2163.8157342
p_3592,35.339325,-119.057159,31,2178.2273601
p_3592,35.339371,-119.056915,32,2200.98885727
p_3592,35.339401,-119.056709,33,2220.00972166
p_3592,35.339443,-119.056442,34,2244.72581656
p_3592,35.339466,-119.056229,35,2264.25696867
p_3592,35.339523,-119.055557,36,2325.6746139
p_3592,35.339531,-119.055328,37,2346.51179813
p_3592,35.339535,-119.055107,38,2366.60769376
p_3592,35.339531,-119.054176,39,2451.24558216
p_3592,35.339535,-119.053673,40,2496.97520352
p_3592,35.339531,-119.052971,41,2560.79520077
p_3592,35.339516,-119.051964,42,2652.35618223
p_3592,35.339508,-119.05072,43,2765.45108625
p_3592,35.339508,-119.050499,44,2785.54208729
p_3592,35.339497,-119.049171,45,2906.27608904
p_3592,35.339497,-119.048706,46,2948.54901551
p_3592,35.339489,-119.047806,47,3030.372401
p_3592,35.339489,-119.046211,48,3175.37309856
p_3592,35.339474,-119.045326,49,3255.84524858
p_3592,35.339447,-119.043419,50,3429.23565805
p_3592,35.33942,-119.042084,51,3550.63692449
p_3592,35.339424,-119.041611,52,3593.63945686
p_3592,35.339413,-119.041016,53,3647.744439
p_3592,35.339264,-119.041031,54,3664.33166054
p_3592,35.339157,-119.041031,55,3676.20296807
p_3592,35.339062,-119.041016,56,3686.83076163
p_3592,35.338943,-119.040985,57,3700.3308646
p_3592,35.338806,-119.040932,58,3716.27597843
p_3592,35.338699,-119.040871,59,3729.37868201
p_3592,35.338577,-119.040756,60,3746.48163051
p_3592,35.338207,-119.040398,61,3798.86839793
p_3592,35.337986,-119.040207,62,3828.91340004
p_3592,35.337769,-119.040077,63,3855.73323618
p_3592,35.337467,-119.039948,64,3891.23230053
p_3592,35.337124,-119.039856,65,3930.19533571
p_3592,35.336212,-119.039757,66,4031.77828017
p_3592,35.334728,-119.039764,67,4196.42445822
p_3592,35.33239,-119.039795,68,4455.83314308
p_3592,35.331844,-119.039795,69,4516.41002429
p_3592,35.331429,-119.039772,70,4562.50034981
p_3592,35.331013,-119.039734,71,4608.78328801
p_3592,35.330597,-119.03968,72,4655.19749064
p_3592,35.330196,-119.039612,73,4700.11461933
p_3592,35.329643,-119.039497,74,4762.35266663
p_3592,35.329502,-119.039467,75,4778.23215577
p_3592,35.325027,-119.0383,76,5285.92997133
p_3592,35.324818,-119.038239,77,5309.77192344
p_3592,35.321503,-119.037392,78,5685.53675179
p_3592,35.317543,-119.036354,79,6134.90912728
p_3592,35.314369,-119.035446,80,6496.60376744
p_3592,35.313221,-119.03521,81,6625.76564422
p_3592,35.311893,-119.034821,82,6777.28967327
p_3592,35.311428,-119.034706,83,6829.92905305
p_3592,35.310665,-119.034508,84,6916.47495659
p_3592,35.310143,-119.03437,85,6975.73310916
p_3592,35.29985,-119.031708,86,8143.0836846
p_3592,35.299267,-119.031555,87,8209.24529772
p_3592,35.295151,-119.030457,88,8676.69249202
p_3592,35.292168,-119.029678,89,9015.14488435
p_3592,35.288643,-119.028778,90,9414.70627725
p_3592,35.286617,-119.028244,91,9644.67165898
p_3592,35.28159,-119.026932,92,10215.02427819
p_3592,35.281223,-119.026833,93,10256.72556961
p_3592,35.280701,-119.026695,94,10315.98440901
p_3592,35.277485,-119.025856,95,10680.85896898
p_3592,35.27433,-119.025032,96,11038.83054779
p_3592,35.273769,-119.024887,97,11102.45381185
p_3592,35.270927,-119.024162,98,11424.58722209
p_3592,35.268459,-119.023506,99,11704.83087059
p_3592,35.266983,-119.023109,100,11872.52328047
p_3592,35.266872,-119.023087,101,11884.99986304
p_3592,35.26675,-119.023048,102,11898.99266451
p_3592,35.265724,-119.022781,103,12015.38644394
p_3592,35.263012,-119.022057,104,12323.39823682
p_3592,35.261551,-119.021645,105,12489.76855788
p_3592,35.252197,-119.019249,106,13550.20886974
p_3592,35.241199,-119.016373,107,14798.14333138
p_3592,35.237141,-119.015312,108,15258.59939216
p_3592,35.235626,-119.014877,109,15431.2818522
p_3592,35.234367,-119.014542,110,15574.25131734
p_3592,35.233147,-119.014328,111,15710.99863953
p_3592,35.223152,-119.012787,112,16828.72974774
p_3592,35.212757,-119.011063,113,17992.63100749
p_3592,35.208588,-119.010414,114,18458.918078
p_3592,35.208076,-119.010345,115,18516.06801727
p_3592,35.206673,-119.010178,116,18672.46400931
p_3592,35.203136,-119.009552,117,19068.99281534
p_3592,35.199661,-119.009003,118,19457.75214304
p_3592,35.197559,-119.008667,119,19692.95571754
p_3592,35.194881,-119.008247,120,19992.51616848
p_3592,35.186665,-119.006935,121,20911.83141678
p_3592,35.183037,-119.006378,122,21317.52078002
p_3592,35.179256,-119.00576,123,21740.7597802
p_3592,35.175442,-119.005173,124,22167.26455137
p_3592,35.174889,-119.005043,125,22229.74889343
p_3592,35.174335,-119.004906,126,22292.46594746
p_3592,35.174091,-119.004837,127,22320.25637013
p_3592,35.173626,-119.004684,128,22373.69477198
p_3592,35.172592,-119.004356,129,22492.23799956
p_3592,35.170319,-119.003654,130,22752.39547309
p_3592,35.166122,-119.002365,131,23232.60521116
p_3592,35.157665,-118.999641,132,24203.12291411
p_3592,35.153465,-118.998337,133,24683.99475152
p_3592,35.150558,-118.997375,134,25018.20707585
p_3592,35.149681,-118.997124,135,25118.1563886
p_3592,35.147545,-118.996483,136,25362.22357598
p_3592,35.136127,-118.992775,137,26673.26802559
p_3592,35.125435,-118.989449,138,27897.59232124
p_3592,35.122475,-118.988495,139,28237.30119514
p_3592,35.122108,-118.988365,140,28279.70651315
p_3592,35.12154,-118.988152,141,28345.64525271
p_3592,35.118076,-118.987129,142,28741.1029001
p_3592,35.116299,-118.986534,143,28945.57318096
p_3592,35.098869,-118.980972,144,30944.68189445
p_3592,35.094337,-118.979622,145,31462.32137317
p_3592,35.09037,-118.97831,146,31918.3999239
p_3592,35.079109,-118.974754,147,33209.12062083
p_3592,35.074032,-118.973145,148,33791.17524805
p_3592,35.060844,-118.968964,149,35303.16090735
p_3592,35.058537,-118.968262,150,35566.99296824
p_3592,35.057137,-118.967819,151,35727.48257839
p_3592,35.054573,-118.967003,152,36021.51592826
p_3592,35.053524,-118.966667,153,36141.86273472
p_3592,35.051811,-118.966095,154,36338.93985091
p_3592,35.026516,-118.958153,155,39237.25564598
p_3592,35.025085,-118.957695,156,39401.42216873
p_3592,35.018257,-118.955505,157,40184.85124516
p_3592,35.015408,-118.954597,158,40511.60572404
p_3592,35.012386,-118.953644,159,40857.96887273
p_3592,35.010517,-118.953056,160,41072.15055553
p_3592,35.009556,-118.952744,161,41182.50263149
p_3592,35.009098,-118.952614,162,41234.68067594
p_3592,35.00864,-118.952492,163,41286.6975264
p_3592,35.006756,-118.951897,164,41502.65092454
p_3592,35.004974,-118.95134,165,41706.7806026
p_3592,34.999393,-118.949562,166,42346.86015041
p_3592,34.989162,-118.946335,167,43519.502916
p_3592,34.986717,-118.945564,168,43799.73738003
p_3592,34.983761,-118.944626,169,44138.67569441
p_3592,34.979576,-118.943306,170,44618.34984054
p_3592,34.978249,-118.942886,171,44770.48076915
p_3592,34.974548,-118.941727,172,45194.49068691
p_3592,34.972031,-118.940926,173,45483.14814514
p_3592,34.971222,-118.940674,174,45575.80196772
p_3592,34.968304,-118.939789,175,45909.4610731
p_3592,34.96497,-118.938698,176,46292.51974964
p_3592,34.964542,-118.93856,177,46341.64619515
p_3592,34.955639,-118.935753,178,47362.07351583
p_3592,34.945835,-118.932671,179,48485.56843172
p_3592,34.942875,-118.931725,180,48825.12997323
p_3592,34.941566,-118.931313,181,48975.14781552
p_3592,34.941307,-118.931236,182,49004.72963761
p_3592,34.941051,-118.931168,183,49033.80159012
p_3592,34.940781,-118.931084,184,49064.72258336
p_3592,34.940495,-118.931007,185,49097.22167308
p_3592,34.94022,-118.930954,186,49128.11184527
p_3592,34.939987,-118.930916,187,49154.19280954
p_3592,34.939724,-118.930862,188,49183.78399421
p_3592,34.939434,-118.930817,189,49216.21802683
p_3592,34.939217,-118.930794,190,49240.38341231
p_3592,34.9389,-118.930756,191,49275.72214757
p_3592,34.938595,-118.930733,192,49309.62385828
p_3592,34.938305,-118.930733,193,49341.79629817
p_3592,34.93803,-118.930717,194,49372.33964137
p_3592,34.937458,-118.930717,195,49435.79699819
p_3592,34.937183,-118.930725,196,49466.31409374
p_3592,34.936863,-118.93074,197,49501.84114794
p_3592,34.93642,-118.930786,198,49551.166659
p_3592,34.934731,-118.93084,199,49738.60823224
p_3592,34.934261,-118.930901,200,49791.04672162
