trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_890519_b_22728_tn_0,13:00:00,13:00:00,771262,1,LAX,0,1,0,0,,,,,1,1,,,,
t_890519_b_22728_tn_0,15:00:00,15:00:00,2562316,2,,0,0,153409.148365556,0,,,,,1,1,,,,
t_890519_b_22728_tn_0,16:15:00,16:15:00,771487,3,LAX,1,0,187636.872702339,0,,,,,1,1,,,,
t_890519_b_22728_tn_0,16:18:00,16:18:00,771488,4,LAX,1,0,187894.743804634,0,,,,,1,1,,,,
t_890519_b_22728_tn_0,16:20:00,16:20:00,771263,5,LAX,1,0,188141.09619394,0,,,,,1,1,,,,
t_890519_b_22728_tn_0,16:22:00,16:22:00,771495,6,LAX,1,0,188354.032706612,0,,,,,1,1,,,,
t_890519_b_22728_tn_0,16:24:00,16:24:00,771489,7,LAX,1,0,188625.270400017,0,,,,,1,1,,,,
t_890519_b_22728_tn_0,16:26:00,16:26:00,771490,8,LAX,1,0,188875.072834226,0,,,,,1,1,,,,
t_890519_b_22728_tn_0,16:28:00,16:28:00,771491,9,LAX,1,0,189087.108540738,0,,,,,1,1,,,,
t_890519_b_22728_tn_0,16:30:00,16:30:00,771492,10,LAX,1,0,189359.7348574,0,,,,,1,1,,,,
t_890521_b_22728_tn_0,13:45:00,13:45:00,771487,1,Bakersfield,2,1,0,0,,,,,1,1,,,,
t_890521_b_22728_tn_0,,,771488,2,Bakersfield,2,1,253.935291646429,0,,,,,1,1,,,,
t_890521_b_22728_tn_0,,,771263,3,Bakersfield,2,1,500.2876809518,0,,,,,1,1,,,,
t_890521_b_22728_tn_0,,,771495,4,Bakersfield,2,1,713.224193624131,0,,,,,1,1,,,,
t_890521_b_22728_tn_0,,,771489,5,Bakersfield,2,1,984.461887029477,0,,,,,1,1,,,,
t_890521_b_22728_tn_0,,,771490,6,Bakersfield,2,1,1234.26432123806,0,,,,,1,1,,,,
t_890521_b_22728_tn_0,,,771491,7,Bakersfield,2,1,1446.30002775058,0,,,,,1,1,,,,
t_890521_b_22728_tn_0,,,771492,8,Bakersfield,2,1,1718.92634429471,0,,,,,1,1,,,,
t_890521_b_22728_tn_0,15:00:00,15:00:00,2562316,9,Bakersfield,2,2,37203.4084016305,0,,,,,1,1,,,,
t_890521_b_22728_tn_0,17:00:00,17:00:00,771262,10,Bakersfield,1,0,189494.53775577,0,,,,,1,1,,,,
t_890523_b_22728_tn_0,03:00:00,03:00:00,771262,1,LAX,0,1,0,0,,,,,1,1,,,,
t_890523_b_22728_tn_0,05:00:00,05:00:00,2562316,2,,0,0,153409.148365556,0,,,,,1,1,,,,
t_890523_b_22728_tn_0,05:45:00,05:45:00,771487,3,LAX,1,0,187636.872702339,0,,,,,1,1,,,,
t_890523_b_22728_tn_0,05:48:00,05:48:00,771488,4,LAX,1,0,187894.743804634,0,,,,,1,1,,,,
t_890523_b_22728_tn_0,05:50:00,05:50:00,771263,5,LAX,1,0,188141.09619394,0,,,,,1,1,,,,
t_890523_b_22728_tn_0,05:52:00,05:52:00,771495,6,LAX,1,0,188354.032706612,0,,,,,1,1,,,,
t_890523_b_22728_tn_0,05:54:00,05:54:00,771489,7,LAX,1,0,188625.270400017,0,,,,,1,1,,,,
t_890523_b_22728_tn_0,05:56:00,05:56:00,771490,8,LAX,1,0,188875.072834226,0,,,,,1,1,,,,
t_890523_b_22728_tn_0,05:58:00,05:58:00,771491,9,LAX,1,0,189087.108540738,0,,,,,1,1,,,,
t_890523_b_22728_tn_0,06:00:00,06:00:00,771492,10,LAX,1,0,189359.7348574,0,,,,,1,1,,,,
t_890526_b_22728_tn_0,18:00:00,18:00:00,771262,1,LAX,0,1,0,0,,,,,1,1,,,,
t_890526_b_22728_tn_0,20:00:00,20:00:00,2562316,2,,0,0,153409.148365556,0,,,,,1,1,,,,
t_890526_b_22728_tn_0,21:15:00,21:15:00,771487,3,LAX,1,0,187636.872702339,0,,,,,1,1,,,,
t_890526_b_22728_tn_0,21:18:00,21:18:00,771488,4,LAX,1,0,187894.743804634,0,,,,,1,1,,,,
t_890526_b_22728_tn_0,21:20:00,21:20:00,771263,5,LAX,1,0,188141.09619394,0,,,,,1,1,,,,
t_890526_b_22728_tn_0,21:22:00,21:22:00,771495,6,LAX,1,0,188354.032706612,0,,,,,1,1,,,,
t_890526_b_22728_tn_0,21:24:00,21:24:00,771489,7,LAX,1,0,188625.270400017,0,,,,,1,1,,,,
t_890526_b_22728_tn_0,21:26:00,21:26:00,771490,8,LAX,1,0,188875.072834226,0,,,,,1,1,,,,
t_890526_b_22728_tn_0,21:28:00,21:28:00,771491,9,LAX,1,0,189087.108540738,0,,,,,1,1,,,,
t_890526_b_22728_tn_0,21:30:00,21:30:00,771492,10,LAX,1,0,189359.7348574,0,,,,,1,1,,,,
t_890527_b_22728_tn_0,08:15:00,08:15:00,771487,1,Bakersfield,2,1,0,0,,,,,1,1,,,,
t_890527_b_22728_tn_0,,,771488,2,Bakersfield,2,1,253.935291646429,0,,,,,1,1,,,,
t_890527_b_22728_tn_0,,,771263,3,Bakersfield,2,1,500.2876809518,0,,,,,1,1,,,,
t_890527_b_22728_tn_0,,,771495,4,Bakersfield,2,1,713.224193624131,0,,,,,1,1,,,,
t_890527_b_22728_tn_0,,,771489,5,Bakersfield,2,1,984.461887029477,0,,,,,1,1,,,,
t_890527_b_22728_tn_0,,,771490,6,Bakersfield,2,1,1234.26432123806,0,,,,,1,1,,,,
t_890527_b_22728_tn_0,,,771491,7,Bakersfield,2,1,1446.30002775058,0,,,,,1,1,,,,
