service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
183-1,1,1,1,1,1,0,0,20250315,20991231
183-2,0,0,0,0,0,1,0,20250315,20991231
183-3,0,0,0,0,0,0,1,20250315,20991231
30-1,1,1,1,1,1,0,0,20250621,20260620
30-2,0,0,0,0,0,0,1,20250621,20260620
30-3,0,0,0,0,0,1,0,20250621,20260620
45-1,1,1,1,1,1,0,0,20250913,20991231
45-2,0,0,0,0,0,0,1,20250913,20991231
45-3,0,0,0,0,0,1,0,20250913,20991231
47-1,0,0,0,0,0,0,1,20250616,20260619
47-2,1,1,1,1,1,0,0,20250616,20260619
47-3,0,0,0,0,0,1,0,20250616,20260619
