stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
10306665,1,"Cesar Chavez/Indiana (Northbound)","",34.040576,-118.191989,,,0,,,0,,
10306666,2,"Cesar Chavez/Fresno (Northbound)","",34.04170477668839,-118.19624257359251,,,0,,,0,,
10306677,3,"Cesar Chavez/Fresno (Southbound)","",34.041784670695804,-118.19656254232788,,,0,,,0,,
10306678,4,"Cesar Chavez/Indiana (Southbound)","",34.040483338882574,-118.19208077546313,,,0,,,0,,
10840669,20600,"Glenoaks & Van Nuys","",34.273899,-118.41212,,,0,,,0,,
10840670,20601,"Glenoaks & Pierce","",34.270738,-118.408756,,,0,,,0,,
10840671,20602,"Glenpaks & Gain","",34.268947,-118.406793,,,0,,,0,,
10840672,20603,"Discovery Cube Los Angeles","",34.271898,-118.39284,,,0,,,0,,
10840673,20604,"Osborne & Glenoaks","",34.264186,-118.402142,,,0,,,0,,
10840674,20605,"Osborne & Chanute","",34.260302,-118.40292,,,0,,,0,,
10840675,20606,"Osborne & Bradley","",34.257185,-118.405618,,,0,,,0,,
10840676,20607,"Osborne & San Fernando","",34.254099,-118.409829,,,0,,,0,,
10840706,20608,"Osborne & Telfair","",34.251851,-118.412914,,,0,,,0,,
10840707,20609,"Osborne & Haddon","",34.249461,-118.416191,,,0,,,0,,
10840708,20610,"Osborne & Laurel Canyon","",34.246796,-118.41985,,,0,,,0,,
10840709,20611,"Osborne & Arleta","",34.242269,-118.426051,,,0,,,0,,
10840710,20612,"Osborne & Beachy","",34.239608,-118.429699,,,0,,,0,,
10840711,20613,"Osborne & Canterbury","",34.237488,-118.432617,,,0,,,0,,
10840712,20614,"Woodman & Osborne","",34.232654,-118.438588,,,0,,,0,,
10840713,20615,"Woodman & Parthenia","",34.229776,-118.436437,,,0,,,0,,
10842124,20616,"Woodman & Chase","",34.227993,-118.434634,,,0,,,0,,
10842125,20617,"Roscoe & Woodman","",34.221801,-118.433186,,,0,,,0,,
10842126,20618,"Roscoe & Ranchito","",34.221774,-118.436898,,,0,,,0,,
10842127,20619,"Roscoe & Hazeltine","",34.221681,-118.440682,,,0,,,0,,
10842128,20620,"Roscoe & Wakefield","",34.221672,-118.443239,,,0,,,0,,
10842129,20621,"Van Nuys & Parthenia","",34.226786,-118.449644,,,0,,,0,,
