trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
183-_3uV2MjGIO,4445,183-3,(Southbound) DASH F /   EXPO PARK - USC /,"",0,447328,20347,
183-_694En4HMYp,4446,183-3,DASH D /   SOUTH PARK,"",1,447319,20569,
183-_YUYwDUy6X,4445,183-3,(Southbound) DASH F /   EXPO PARK - USC /,"",0,447341,20347,
183--784XcojfNQ,4446,183-3,DASH D /  UNION STATION EAST/ PATSAOURAS,"",0,447317,20795,
183--HZ6PxH8z9R,4446,183-3,DASH D /   SOUTH PARK,"",1,447321,20569,
183--N47c2f9CGf,4446,183-3,DASH D /  UNION STATION EAST/ PATSAOURAS,"",0,447319,20795,
183-00dqgv6kf,4446,183-1,DASH D /   SOUTH PARK,"",1,447239,20569,
183-031a0ikvr,4447,183-1,(Westbound) DASH A / CITY WEST,"",0,447268,18751,
183-04u26szx9,4445,183-1,(Southbound) DASH F /   EXPO PARK - USC /,"",0,447279,20347,
183-04vq6dp71,4446,183-1,DASH D /   SOUTH PARK,"",1,447245,20569,
183-0541i4kgy,4446,183-1,DASH D /   SOUTH PARK,"",1,447236,20569,
183-066aq3qyh,4447,183-2,(Westbound) DASH A / CITY WEST,"",0,447305,18751,
183-06agfa7,4444,183-1,Southbound,"",0,447258,26044,
183-06s8vjy3f,4445,183-1,(Southbound) DASH F /   EXPO PARK - USC /,"",0,447275,20347,
183-07lhx83sb,4446,183-1,DASH D /   SOUTH PARK,"",1,447236,20569,
183-07rmbur,4444,183-1,Northbound,"",1,447247,26043,
183-07rte49wt,4446,183-1,DASH D /   SOUTH PARK,"",1,447239,20569,
183-0a4s2s6kq,4444,183-2,Southbound,"",0,447294,26044,
183-0acgsnuu3,4446,183-1,DASH D /  UNION STATION EAST/ PATSAOURAS,"",0,447234,20795,
183-0aevym7,4444,183-1,Southbound,"",0,447255,26044,
183-0ajep6c3a,4446,183-1,DASH D /   SOUTH PARK,"",1,447244,20569,
183-0aukuxotm,4443,183-1,Southbound,"",0,447262,22678,
183-0avqem5,4444,183-1,Northbound,"",1,447248,26043,
183-0bkeqbb4h,4445,183-1,(Southbound) DASH F /   EXPO PARK - USC /,"",0,447275,20347,
183-0bubzfd8d,4446,183-1,DASH D /   SOUTH PARK,"",1,447244,20569,
183-0c3yai6ml,4443,183-1,Southbound,"",0,447277,22678,
183-0c4k8mvka,4443,183-2,Southbound,"",0,447297,22678,
183-0dou6d6lq,4443,183-1,Southbound,"",0,447274,22678,
183-0e24dne,4444,183-1,Southbound,"",0,447248,26044,
183-0e3frqkfc,4446,183-2,DASH D /   SOUTH PARK,"",1,447284,20569,
183-0evse3vyy,4445,183-2,(Southbound) DASH F /   EXPO PARK - USC /,"",0,447315,20347,
183-0g1mu2t9n,4444,183-2,Northbound,"",1,447292,26043,
183-0hfp2sm5e,4446,183-1,DASH D /  UNION STATION EAST/ PATSAOURAS,"",0,447236,20795,
183-0hn0zqa,4444,183-1,Southbound,"",0,447264,26044,
183-0j9ptpq4e,4446,183-1,DASH D /   SOUTH PARK,"",1,447237,20569,
183-0kedvt0,4444,183-1,Northbound,"",1,447250,26043,
183-0mcc5ucpq,4446,183-1,DASH D /  UNION STATION EAST/ PATSAOURAS,"",0,447238,20795,
183-0o7rdle,4444,183-1,Southbound,"",0,447250,26044,
183-0pzi4h8cu,4446,183-2,DASH D /  UNION STATION EAST/ PATSAOURAS,"",0,447283,20795,
183-0uxsirdxo,4446,183-2,DASH D /   SOUTH PARK,"",1,447290,20569,
183-0voy4esla,4446,183-2,DASH D /   SOUTH PARK,"",1,447285,20569,
183-0wk3tsy,4444,183-1,Northbound,"",1,447252,26043,
183-0wrmizary,4445,183-1,(Southbound) DASH F /   EXPO PARK - USC /,"",0,447280,20347,
183-0xcvdib90,4447,183-2,(Westbound) DASH A / CITY WEST,"",0,447299,18751,
183-0xykpzg,4444,183-1,Northbound,"",1,447249,26043,
183-0y8ilbk3f,4444,183-2,Southbound,"",0,447301,26044,
183-0yehdfu2w,4444,183-3,Northbound,"",1,447322,26043,
183-10l9d9i48,4443,183-3,Southbound,"",0,447335,22678,
183-11mln9x,4444,183-1,Northbound,"",1,447248,26043,
183-1280gvfjy,4446,183-2,DASH D /  UNION STATION EAST/ PATSAOURAS,"",0,447283,20795,
183-130eq75x1,4447,183-2,(Westbound) DASH A / CITY WEST,"",0,447307,18751,
183-14j7ebey8,4446,183-1,DASH D /   SOUTH PARK,"",1,447241,20569,
183-14katyj,4444,183-1,Southbound,"",0,447257,26044,
183-14s16kect,4446,183-2,DASH D /   SOUTH PARK,"",1,447290,20569,
183-15uy4utrc,4447,183-1,(Westbound) DASH A / CITY WEST,"",0,447270,18751,
183-16x8br4bm,4444,183-2,Northbound,"",1,447293,26043,
183-17anxnb,4444,183-1,Northbound,"",1,447255,26043,
183-17fdt230n,4443,183-2,Southbound,"",0,447302,22678,
183-17m6byd5h,4446,183-1,DASH D /  UNION STATION EAST/ PATSAOURAS,"",0,447239,20795,
183-1993bu47i,4446,183-1,DASH D /  UNION STATION EAST/ PATSAOURAS,"",0,447241,20795,
183-19h748kxz,4443,183-1,Southbound,"",0,447242,22678,
183-19mxrg5s1,4446,183-1,DASH D /   SOUTH PARK,"",1,447239,20569,
183-1c4hey9q6,4445,183-1,(Southbound) DASH F /   EXPO PARK - USC /,"",0,447281,20347,
183-1c5ndppzo,4443,183-2,Southbound,"",0,447310,22678,
